timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-11-26 04:30:00,138.38,138.55,138.17,138.32,36430.216,2025-11-26 04:44:59.999,5041989.8471,9456,11688.77,1617114.26325
2025-11-26 04:45:00,138.31,138.37,138.02,138.04,11212.074,2025-11-26 04:59:59.999,1549494.40709,8074,5462.676,755014.00969
2025-11-26 05:00:00,138.04,138.68,137.99,138.46,10613.994,2025-11-26 05:14:59.999,1468778.90362,7762,6723.167,930521.22743
2025-11-26 05:15:00,138.46,138.9,138.38,138.62,12800.772,2025-11-26 05:29:59.999,1774432.43494,10336,8432.849,1169183.19339
2025-11-26 05:30:00,138.62,138.92,138.59,138.8,11089.208,2025-11-26 05:44:59.999,1538882.64257,10531,6150.19,853510.21252
2025-11-26 05:45:00,138.8,139.29,138.69,139.02,23103.963,2025-11-26 05:59:59.999,3210714.93944,13281,7810.554,1085318.89077
2025-11-26 06:00:00,139.01,139.21,138.77,138.98,24618.618,2025-11-26 06:14:59.999,3422297.75992,15763,6669.709,927109.14414
2025-11-26 06:15:00,138.99,139.0,138.44,138.73,33215.356,2025-11-26 06:29:59.999,4605891.38407,14990,5610.65,777971.42548
2025-11-26 06:30:00,138.73,139.17,138.41,139.17,32328.829,2025-11-26 06:44:59.999,4486090.9389,14799,7714.251,1071031.35742
2025-11-26 06:45:00,139.17,139.77,138.95,139.56,46189.048,2025-11-26 06:59:59.999,6440229.61614,18250,12562.636,1752054.51358
2025-11-26 07:00:00,139.56,139.71,139.1,139.33,31000.152,2025-11-26 07:14:59.999,4320571.84947,16665,7029.607,979617.18312
2025-11-26 07:15:00,139.33,139.83,139.27,139.73,44766.004,2025-11-26 07:29:59.999,6250024.40406,15714,16815.712,2347452.30638
2025-11-26 07:30:00,139.73,139.82,139.35,139.45,28128.298,2025-11-26 07:44:59.999,3926720.53959,13256,5516.686,769995.02024
2025-11-26 07:45:00,139.45,139.95,139.35,139.89,28671.124,2025-11-26 07:59:59.999,4004615.55285,12788,6992.828,976559.3523
2025-11-26 08:00:00,139.88,139.93,139.07,139.17,37305.35,2025-11-26 08:14:59.999,5205471.16512,17095,8045.521,1123137.14705
2025-11-26 08:15:00,139.16,139.2,138.27,138.31,39279.84,2025-11-26 08:29:59.999,5444993.58142,19457,9818.77,1361483.16832
2025-11-26 08:30:00,138.31,138.5,138.0,138.2,34376.461,2025-11-26 08:44:59.999,4754126.12319,17009,9842.609,1361632.76555
2025-11-26 08:45:00,138.19,138.5,137.91,137.93,28397.144,2025-11-26 08:59:59.999,3923108.08318,17570,6942.933,959292.1302
2025-11-26 09:00:00,137.93,138.14,137.05,137.53,63349.838,2025-11-26 09:14:59.999,8713247.1785,23574,21219.84,2917368.60864
2025-11-26 09:15:00,137.53,137.57,136.54,136.6,58145.363,2025-11-26 09:29:59.999,7961140.08002,24679,19505.824,2669980.35636
2025-11-26 09:30:00,136.6,136.78,136.21,136.53,41883.053,2025-11-26 09:44:59.999,5716899.08133,20452,17527.402,2392564.99398
2025-11-26 09:45:00,136.53,136.89,136.31,136.72,30396.378,2025-11-26 09:59:59.999,4151418.9607,15936,18360.208,2507458.95267
2025-11-26 10:00:00,136.72,137.45,136.7,137.14,35823.026,2025-11-26 10:14:59.999,4909654.60542,23992,18582.457,2546624.37465
2025-11-26 10:15:00,137.14,137.39,136.82,137.05,25790.468,2025-11-26 10:29:59.999,3534759.33151,14799,12539.688,1719017.56085
2025-11-26 10:30:00,137.05,137.27,136.61,137.17,13764.381,2025-11-26 10:44:59.999,1884557.17308,12113,5992.17,820542.89302
2025-11-26 10:45:00,137.17,137.39,137.03,137.27,12267.721,2025-11-26 10:59:59.999,1683877.79942,8049,6553.027,899379.84012
2025-11-26 11:00:00,137.28,137.38,137.02,137.2,10362.245,2025-11-26 11:14:59.999,1421709.93951,10064,4062.766,557399.95343
2025-11-26 11:15:00,137.19,137.25,136.83,136.89,10543.17,2025-11-26 11:29:59.999,1445025.50218,9417,4497.885,616503.61128
2025-11-26 11:30:00,136.89,136.94,136.6,136.94,29041.262,2025-11-26 11:44:59.999,3970431.69344,13230,13620.248,1862054.70928
2025-11-26 11:45:00,136.93,137.03,136.65,136.87,11454.389,2025-11-26 11:59:59.999,1567423.77532,10383,6426.541,879266.12681
2025-11-26 12:00:00,136.86,137.1,135.85,135.86,42841.044,2025-11-26 12:14:59.999,5836245.48634,32065,18168.458,2475159.50696
